ID,PIXY,Group
Sample_A12,0.000631713,Putative_Hyb
Sample_A15,0.000537759,Putative_Hyb
Sample_A54,0.000505084,Putative_Hyb
Sample_A6,0.000617364,Putative_Hyb
Sample_A86,0.000493445,Putative_Hyb
Sample_A91,0.000625942,Putative_Hyb
Sample_AGO08,0.00053651,darwini
Sample_AGO20,0.000508621,darwini
Sample_AGO32,0.00059749,darwini
Sample_B128,0.000619655,Putative_Hyb
Sample_B41,0.000591364,Putative_Hyb
Sample_B55,0.000544042,Putative_Hyb
Sample_BF461,0.000540251,Putative_Hyb
Sample_BM842,0.000469867,Putative_Hyb
Sample_C63,0.000493309,Putative_Hyb
Sample_C66,0.00063384,Putative_Hyb
Sample_CAS_8101,0.000600994,phantasticus 
Sample_CAS_8122,0.000562777,hoodensis
Sample_CAZ11,0.000468483,guntheri
Sample_CAZ15,0.000458767,guntheri
Sample_CAZ22,0.000390935,guntheri
Sample_CF03,0.000401362,donfaustoi
Sample_CF06,0.000388434,donfaustoi
Sample_CF09,0.000395702,donfaustoi
Sample_CRU12,0.000524178,porteri
Sample_CRU14,0.000523254,porteri
Sample_CRU38,0.000521533,porteri
Sample_E39,0.000633161,Putative_Hyb
Sample_ESP01,0.000311317,hoodensis
Sample_ESP02,0.000315508,hoodensis
Sample_ESP08,0.000290165,hoodensis
Sample_ESP10,0.000264538,hoodensis
Sample_ESP11,0.00025457,hoodensis
Sample_ESP12,0.000274318,hoodensis
Sample_ESP13,0.000260936,hoodensis
Sample_ESP14,0.000269409,hoodensis
Sample_ESP15,0.000306177,hoodensis
Sample_ESP3,0.000226753,hoodensis
Sample_ESP5,0.000232654,hoodensis
Sample_ESP6,0.000327537,hoodensis
Sample_ESP7,0.000276708,hoodensis
Sample_Fern07,0.000592505,phantasticus 
Sample_FloHyb_26055848,0.000489463,Putative_Hyb
Sample_FloHyb_26056533,0.000327149,Putative_Hyb
Sample_FloHyb_48036067,0.000530295,Putative_Hyb
Sample_FloHyb_48349076,0.000507274,Putative_Hyb
Sample_FloHyb_48359110,0.000455402,Putative_Hyb
Sample_FloHyb_51777322,0.000585439,Putative_Hyb
Sample_FloHyb_52312895,0.000404008,Putative_Hyb
Sample_FloHyb_52335791,0.0005698,Putative_Hyb
Sample_FloHyb_52337841,0.000566425,Putative_Hyb
Sample_FloHyb_52376100,0.000554061,Putative_Hyb
Sample_FloHyb_52604553,0.000466841,Putative_Hyb
Sample_FloHyb_52793336,0.000350192,Putative_Hyb
Sample_FloHyb_52796799,0.000493185,Putative_Hyb
Sample_FloHyb_54957007,0.000595489,Putative_Hyb
Sample_FloHyb_54957019,0.000569975,Putative_Hyb
Sample_FloHyb_54957272,0.000460607,Putative_Hyb
Sample_FloHyb_54957555,0.000508903,Putative_Hyb
Sample_FloHyb_72611626,0.000482352,Putative_Hyb
Sample_FloHyb_A16,0.000506199,Putative_Hyb
Sample_FloHyb_A33,0.000451289,Putative_Hyb
Sample_FloHyb_B39,0.000583196,Putative_Hyb
Sample_FloHyb_BR027,0.000534208,Putative_Hyb
Sample_FloHyb_BR106,0.000595951,Putative_Hyb
Sample_FloHyb_BR542,0.000614839,Putative_Hyb
Sample_FloHyb_BR610,0.000572799,Putative_Hyb
Sample_FloHyb_BR783,0.000525576,Putative_Hyb
Sample_FloHyb_BR877,0.000552822,Putative_Hyb
Sample_FloHyb_E11,0.000427907,Putative_Hyb
Sample_FloHyb_E69,0.000503272,Putative_Hyb
Sample_FloHyb_E84,0.000483245,Putative_Hyb
Sample_FloHyb_G155,0.000458519,Putative_Hyb
Sample_FloHyb_G164,0.000381451,Putative_Hyb
Sample_FloHyb_G165,0.000544781,Putative_Hyb
Sample_FloHyb_G21,0.000332569,Putative_Hyb
Sample_FloHyb_G8,0.000483377,Putative_Hyb
Sample_FloHyb_G90,0.000463424,Putative_Hyb
Sample_FloHyb_H119,0.000436578,Putative_Hyb
Sample_FloHyb_H149,0.000487863,Putative_Hyb
Sample_FloHyb_H158,0.000361662,Putative_Hyb
Sample_FloHyb_H163,0.000527685,Putative_Hyb
Sample_FloHyb_H17,0.000503135,Putative_Hyb
Sample_FloHyb_H192,0.00049325,Putative_Hyb
Sample_FloHyb_H2,0.000514849,Putative_Hyb
Sample_FloHyb_H210,0.000529385,Putative_Hyb
Sample_FloHyb_H235,0.000411458,Putative_Hyb
Sample_FloHyb_H27,0.00054128,Putative_Hyb
Sample_FloHyb_H29,0.000497079,Putative_Hyb
Sample_FloHyb_H5,0.000397646,Putative_Hyb
Sample_FloHyb_I59,0.000531834,Putative_Hyb
Sample_FloHyb_I64,0.000528583,Putative_Hyb
Sample_FloHyb_I7,0.000507354,Putative_Hyb
Sample_FloHyb_I8,0.000528946,Putative_Hyb
Sample_FloHyb_I94,0.000470319,Putative_Hyb
Sample_FloHyb_I96,0.000516665,Putative_Hyb
Sample_FloHyb_M163,0.000452652,Putative_Hyb
Sample_FloHyb_Z1,0.000447612,Putative_Hyb
Sample_FloHyb_Z11,0.000410043,Putative_Hyb
Sample_FloHyb_Z12,0.000331043,Putative_Hyb
Sample_FloHyb_Z13,0.000315623,Putative_Hyb
Sample_FloHyb_Z14,0.000621809,Putative_Hyb
Sample_FloHyb_Z15,0.000530285,Putative_Hyb
Sample_FloHyb_Z17,0.000506621,Putative_Hyb
Sample_FloHyb_Z18,0.000545856,Putative_Hyb
Sample_FloHyb_Z19,0.000558605,Putative_Hyb
Sample_FloHyb_Z2,0.000552534,Putative_Hyb
Sample_FloHyb_Z20,0.000426791,Putative_Hyb
Sample_FloHyb_Z21,0.000467129,Putative_Hyb
Sample_FloHyb_Z3,0.00049532,Putative_Hyb
Sample_FloHyb_Z4,0.000496811,Putative_Hyb
Sample_FloHyb_Z5,0.000411,Putative_Hyb
