PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128,PC129,PC130,PC131,PC132,PC133,PC134,PC135,PC136,PC137,PC138,PC139,PC140
-352.9513092,60.88893877,76.75737132,75.76161198,-35.64380181,79.56292755,-71.98220242,23.00986693,29.82954834,-30.20460829,37.41970583,-9.856296409,54.62851083,-35.25834838,8.582396364,-12.7012098,12.84133096,-6.846135951,-82.46218622,44.82680434,-39.0384241,34.58460614,-17.39464437,70.16088932,-37.42898411,41.00083282,-13.96460884,17.83217568,-31.23225779,1.039070269,-32.52549291,49.55885143,-40.48842796,-6.622898896,28.34593808,-66.23385023,42.81650834,81.39419201,-16.41748363,-11.76402422,-33.49180918,8.452107369,50.78299492,-46.06536222,-38.6683913,16.60502089,14.98592353,7.65338163,-6.823298566,-36.69393492,0.914613294,31.44298219,28.65560753,-33.83694108,-27.46085819,-5.142364589,-1.992359289,-21.62487359,7.777773515,32.81405679,38.44553016,-50.20550022,-10.25763326,-13.84487085,-2.625798902,-19.36452177,19.91821338,25.93028684,45.74086542,30.03099721,-25.61264911,-36.28917887,-35.88166098,-67.91560019,36.86422502,34.30988229,27.67949332,52.05127107,-31.25712488,-16.33087512,-9.335662745,-9.655490945,-17.86899281,-7.827598522,-2.16225536,-44.93076196,21.93126989,42.9849568,34.00213704,-50.63169673,-34.90806264,-27.23171128,-115.1996981,22.40196572,19.71652403,28.55934158,24.92724157,1.802420022,-35.40240515,-17.81893478,-24.52253306,-17.67435471,-23.32335274,65.8960041,0.369555764,67.51400002,-7.110705629,-7.545098828,-17.56696708,-10.26784786,-32.26619819,40.48974625,33.23640494,6.362312714,-13.54774164,-24.33936095,16.89252436,20.52927256,-4.917692371,-1.458869018,-4.111523561,-1.082397584,2.647549809,5.081985604,2.415246277,-3.691022253,-12.32999012,5.900434282,2.290244812,-0.073223631,-8.212658223,12.09206495,2.000428295,-3.362859223,0.66616461,-1.630336584,0.33836968,-0.448394922,0.415278058,-0.789817273
-341.3405736,-147.3404324,-21.3372487,59.0231086,-5.953723808,71.3569016,-54.20810805,44.1701627,-16.26350216,20.88568291,-23.2110708,7.276094974,-5.035780658,39.4665083,54.22225523,-36.84185106,17.47959501,-7.102514386,64.4418308,81.66941445,-50.65307926,38.26269741,68.36816031,15.66792222,-24.6120451,30.02353001,-36.2075244,-7.505123942,8.761873668,-11.65726799,-51.83683393,23.1153444,4.236283208,13.23476407,72.48474076,-42.2708069,18.05061675,27.2632748,11.75629683,2.799183011,23.48140726,2.713044271,-14.84930629,-26.00732343,17.90976866,-32.68076049,-46.00992376,-71.58527724,62.6179935,-32.82767672,-20.21942659,21.51817464,-52.81142463,-42.15686254,-0.802019422,-9.934572584,-6.983914133,27.74873747,-13.10590553,-49.08720497,-21.39251746,45.05508715,-43.70130375,34.35971659,-4.725442168,27.83527549,33.5159553,25.42139807,-17.37421664,16.76342488,2.966263987,-1.239373106,41.33528936,28.45770289,6.012881507,-13.43399557,3.595934416,19.07366745,5.122021338,-23.65706343,-16.77274664,-34.72497834,41.06301268,-66.81561617,-15.13628309,-15.27178301,9.304880861,22.82689237,-44.76868885,25.82310893,-17.07883297,12.58950872,7.74738942,-13.1555616,-14.63612608,7.911595169,5.048969701,12.61484538,6.426904212,-16.5890169,23.80639942,24.32027666,18.08763361,3.963276371,16.07975953,5.47831768,24.3327958,-1.738773844,-12.87399308,10.4587849,-7.280521784,-32.57456526,-31.35757923,2.674878417,-89.55873028,-33.90288725,-32.06791597,-42.37319225,-21.79881621,-40.11926057,101.0968921,24.49094491,6.274248294,12.25185873,43.92662855,6.583525906,-5.751446197,5.08345125,-8.276990355,-1.139028804,5.494951284,-11.93556263,1.749688164,-8.399875186,-1.580345575,-3.502455836,1.362667802,-1.867674908,-0.909508836,-0.283205507
-354.9875554,104.8521591,-31.54090676,20.20738499,-68.18629278,17.95567995,86.60037356,-12.32703543,15.32641798,-32.66686931,6.928081017,14.73995168,9.156486181,18.44587323,30.39542623,21.6882938,-1.525884832,-6.020757901,-10.98189579,-36.23968647,-43.39898967,30.76340418,33.39773209,-70.94424814,-36.44856212,81.91537944,-31.38878823,63.18741175,186.1450478,102.3797597,-99.14814052,-98.87698886,-7.845994199,-71.44728326,-51.76326957,27.37356602,32.0264352,69.34892844,-17.55961797,-58.97284307,-41.84391987,20.46832072,-68.476207,110.4716918,-25.52392716,7.571795379,8.042589682,63.38510877,39.19330259,15.99579228,-25.3738477,5.16706579,-23.18141583,-27.43811972,-29.66417416,12.04776476,-45.51957123,-33.07531467,0.257779308,-11.90290519,-66.66056163,-18.61153823,-15.9744308,-24.32821679,-12.92370424,25.15421595,-1.239223332,10.29397783,2.757974643,-11.59623616,-20.19278821,-31.77985907,37.10749577,-40.0085575,-1.550528041,7.654160087,38.43718992,-4.574789274,7.393287403,24.82152293,-17.28691037,-18.89700115,-22.73344576,10.14791925,14.70698184,6.32815215,26.4961459,6.12664194,-11.63927258,-8.577938851,-20.74307252,10.85312657,1.229212504,9.079820625,-10.77771132,5.163170518,1.462658771,9.427902191,3.765411781,-7.95870233,6.919369539,-17.79680194,-0.883262835,-1.388398174,-8.499604991,-11.66761297,-4.979405722,3.978331405,-9.540989328,-27.3813802,2.662716221,-16.26427387,-11.76391902,-2.92034871,-3.879676599,6.539148228,10.75131088,-1.865834125,-8.598825157,1.127205961,-8.940030912,2.662448003,-7.127243063,10.01179137,-4.417696008,-2.55413868,-1.441005845,-0.442660127,0.959011377,1.089298108,2.488454609,-4.500393678,3.573072044,0.395348782,0.216527626,-1.546323424,0.240039584,-0.015538373,0.734748753,-0.113841365
-344.3879624,-75.1573007,-49.02042762,64.55140115,-71.92654896,21.30337744,-6.60115608,16.08720933,-58.9147352,18.16784207,-25.71182693,-22.23182711,-13.24151895,-213.218112,86.45193555,169.9306819,-56.68281155,75.56163878,73.76503899,61.00388237,5.643620903,-4.458559311,-18.22266943,-0.408150862,6.442763039,-38.89221181,-8.034581441,8.436413405,3.164303937,-4.412868984,-3.774949311,-38.89337758,-31.61562363,-16.61401464,33.34628595,-14.78647205,-12.65038485,41.41233381,-10.20638599,7.102898841,-27.32777032,18.84824278,-6.393366956,-18.49321677,22.69240798,-15.89176075,-7.386737569,-13.12655191,-5.69501704,-14.95668467,-40.96848899,28.19823572,7.820425502,-57.93962149,6.094156673,-8.764528705,-27.73087293,3.859911714,47.03958831,37.41460958,-9.449294413,-42.36073287,-18.33523402,-54.26270961,25.0601209,-5.226489413,-10.29502882,-29.68627498,39.16453798,31.52287435,16.30952916,-16.38917422,-26.28337666,31.89658233,-5.657645257,18.24481863,-33.54578236,-4.837207308,-8.832900012,-11.17055632,8.213917568,49.69876917,-7.082714285,56.85629281,5.296858467,39.33406081,1.097724774,-33.96349042,12.31937083,8.75558255,3.776858091,6.247793176,14.28698808,5.393974964,0.803051304,-3.667885426,-22.01119779,6.682119578,24.88995142,4.3591449,17.99844006,10.91023557,-1.685434653,12.30285287,8.937441544,-1.211336663,8.814483776,-10.63159454,5.329537522,11.62184979,6.456338744,-28.33783422,-28.81854817,2.100254006,27.03602464,-9.488449143,26.68937392,-34.46701801,-18.86408926,-19.71920436,3.242124906,16.6922682,44.55461977,-58.60404876,19.02297707,4.622176187,-52.41061702,20.33541893,2.86112178,8.86411218,-2.60928406,9.355594913,15.85746014,4.60828708,-1.781288301,3.808824861,0.055425224,-0.06227283,-0.208483649,-0.663836478
-358.132964,26.74133886,-66.76087577,74.67988126,-158.3825352,-42.28134546,60.70626632,-72.75601508,93.95482035,-62.62684099,31.28236366,14.28462073,-6.137258499,24.50916476,-8.050029098,-7.737831025,-1.852412818,-3.914431007,-21.71334379,21.23025625,17.16937429,-36.93302212,22.64309346,27.83264067,-7.122216552,-9.409204127,-12.70502435,-63.45845057,-6.467864615,32.06174984,24.90906693,-37.45911875,-54.42519248,23.23849648,-30.7976876,14.62195247,16.93597238,0.271316769,14.65151809,3.088414811,26.19533512,24.22186095,53.7675434,-23.71031098,14.86739006,-11.33136239,1.191945431,-5.828962479,-3.795491197,-11.9174154,-10.59831055,-20.58637473,3.624747465,4.700105799,-2.720412277,-1.799481033,4.581032403,1.521555693,8.901115157,13.55420376,13.64450072,-4.148325061,0.584618785,-2.817163411,-31.85305731,-31.63114013,-6.624298355,1.93415848,-9.455196069,13.7804915,8.113723025,10.46976417,-1.861993966,-15.52834009,-24.04919177,13.62056482,-5.885099444,8.456942657,-3.087231511,-18.04577651,14.60674596,34.72183507,-11.21047954,69.85522173,18.51550634,-63.00418182,-33.93615195,-22.85378284,-53.94227782,13.98693384,52.38463083,-19.05055966,-19.10322192,25.73175985,-7.185230894,21.69915099,-13.48961014,49.77961526,10.71300458,-70.15160729,79.13417015,14.17538687,32.62243453,12.77474261,-4.980655076,-1.225273061,116.3230386,-50.70224258,27.11845843,-99.15058097,35.80712999,-30.81756731,-5.646196334,8.774891559,-74.73466053,20.23461976,-8.553906567,-2.175569235,-9.550932987,13.49712929,-14.78375001,-19.46775335,-10.87110086,-1.2052278,-19.59173744,-0.801492819,7.032150495,-4.863573735,-1.234545027,6.245311832,-7.550938482,13.28348394,7.951443842,1.163145881,0.579937149,-0.536315325,-3.04878678,-4.391600606,1.119644259,-0.737665397
-356.252452,16.44897858,-72.61182712,63.56889978,-141.1975314,-45.51812758,50.37237381,-18.01303221,68.11124512,-44.80721691,18.13828752,7.578589736,-30.25184955,-13.51041057,18.11462772,-10.94949508,-2.834043208,14.25480771,-31.77741836,-5.107225678,4.659668861,-19.88064203,16.6150536,16.50109662,-20.90869649,47.14010468,63.0988399,24.99853706,12.9955865,-9.572913654,-38.31780108,-22.35143351,-6.960655702,6.340803755,46.54523671,-36.97992455,67.93803185,43.85290343,19.35818013,-1.910695719,106.1397629,14.08962982,-10.44365627,-39.6972811,48.07070254,4.979894305,30.75285616,-36.38047864,-65.05106134,10.33107696,38.05774375,-37.96635362,-15.75454996,59.62250795,-14.10221544,8.394263555,-0.9097707,-1.102698006,-17.7421895,37.07965752,-11.7081037,-40.68323897,-6.919004612,47.9839948,-58.76495078,-61.10349518,44.37917626,16.67637659,-18.51049838,-7.32596959,-0.137753565,3.677806703,62.94210057,76.2253198,0.058116709,15.20837538,-25.04320822,-86.38455391,30.52064793,60.10846752,18.6219911,-23.19115357,8.847727772,16.5619721,-33.00452032,49.76958442,-13.20009558,-18.96450721,21.09251673,22.12826504,-53.07056939,19.78606758,-19.37837409,19.49482385,7.952068309,-6.60734884,-15.10170208,58.86444112,-27.59379593,-14.0386458,15.04631804,-2.938130728,4.622152282,12.37140494,28.34776258,-21.44868889,3.363149852,13.32044797,-27.70558811,70.7552966,-9.691982931,37.15844962,24.70241793,-0.769626934,6.636515222,-26.41016032,22.32325889,36.45131951,-29.06660534,-10.94066198,-19.39808261,22.29180402,3.769093614,-0.282222802,-0.041281452,-2.870799593,-13.91203772,2.462516131,8.114590623,15.01933756,17.44101301,-19.81121152,-1.007124346,11.43718456,-0.390614001,2.790217123,-3.450883317,-1.372167805,0.851559354,-0.613563617
-349.8902441,109.9402306,-24.38974892,20.83006914,-71.36170915,-82.9426101,-9.2917295,-2.796127446,19.60056551,-11.35442244,18.75442872,7.96948839,-76.13579738,25.16136459,-47.90019757,-39.2641526,-3.713688832,25.87971832,-75.22476755,31.47328737,83.49235486,8.183039147,82.18252542,97.98747684,-17.84376047,-62.07948194,55.28866654,-27.22509385,-29.12309569,111.5359085,-11.16613344,5.189321142,98.05917108,53.76678189,156.5277654,43.00430286,-37.4513787,-7.492666063,35.61742269,35.3971111,-41.26856018,76.95795146,-55.34835049,82.84106145,-61.38583909,-70.51327664,-46.49920217,42.68605071,-43.33021526,-9.429817249,-24.4123505,-13.29172516,29.29944825,-44.3562203,-3.966268032,0.787079248,-2.559252393,-80.82312832,15.95899714,4.173182409,-2.312783489,-14.88803962,-18.05280358,-48.78738499,-40.45608006,24.61921585,-33.60585598,-5.177649333,4.66759398,-25.02944402,0.389552082,0.34961546,12.52436796,4.930021566,-12.1648038,-6.427033806,-25.19706152,-11.45127418,8.754631252,-13.61677054,29.14335919,10.71456208,2.308447711,-18.95197229,20.105906,-16.69455478,-5.962901164,1.426685092,-7.228035823,-6.18484254,-11.12698913,6.970469425,-2.554218017,-5.940266569,25.4556908,-4.484225998,-3.253414437,-11.65464653,9.271656735,7.628939174,-19.46589408,23.8659883,-0.44736131,-7.432974546,-3.752672236,24.42734269,-8.610809171,-5.237441402,11.10944018,19.28311551,1.481859237,3.803774978,-8.980674188,4.278975881,-5.04522858,-24.62951625,8.563716677,4.19929585,1.975928474,-2.783834419,0.158881402,9.338319231,2.356982075,-2.322135993,8.119860895,1.52041725,0.136205523,1.21725514,9.558934197,7.085570624,0.296595917,0.060783953,-0.386245527,2.798114315,-0.360039994,0.348998915,-1.213498981,1.654926904,0.075742038,-0.370007742
-350.7506152,-115.8238763,-47.18349426,73.84476069,-68.56696543,102.866631,-67.80922372,-0.498380577,-164.989907,64.49900875,-62.88666612,-18.20994295,17.18485557,50.15030005,96.58742462,-11.58667708,5.916873629,-39.14199487,-160.0421686,-76.4202403,36.77371291,-51.90819835,64.99960658,9.637337429,-20.43511646,53.05768647,26.51882079,-19.71016444,5.484997894,28.36203672,26.17597511,-41.93620399,-12.81380797,23.36076656,-34.86746856,0.637876225,-6.155854924,-34.54878008,-3.683127922,-8.64614455,11.00803118,-26.47020992,8.706378617,-7.949827534,12.47625118,0.955352731,-21.64576895,-15.96519342,40.26727772,11.63328534,-8.177819533,23.70700181,29.079321,-5.75525257,8.333693616,-0.807729919,-17.74574309,8.891800739,6.037678363,6.002038765,3.407463208,-4.684273781,3.829661509,-9.502740433,14.35961956,1.402010201,-6.978096376,-26.54578279,12.97243217,22.07398326,5.902393481,-0.790979448,2.652412213,33.81035322,-0.874482453,-9.481048683,-4.956223824,-1.775693587,-10.65441009,2.509822968,12.20103364,3.395907559,12.46077728,-0.558809773,-2.386527931,-9.03845342,-27.97915552,-7.061139702,15.50141231,-5.448289239,9.049239225,-2.79731544,-9.774166218,11.29867193,22.04705393,-11.59034954,-4.794664482,7.477028738,4.845450327,-9.036922158,5.118927238,22.00756903,3.24554972,2.011400535,-3.42518482,-5.015648402,0.567827775,5.497295879,5.904863034,7.917663586,-2.189624062,1.264230742,-5.533366804,1.933900295,17.3544123,-1.985394363,-15.53975899,15.2061512,-0.783325611,-1.748336328,-6.784985127,4.118930617,3.8014178,-6.262579047,-0.693001201,-3.642773017,-16.17425701,7.825137086,-15.45348223,11.57672333,3.906931818,-6.397795551,6.587910215,2.238728074,-0.085373882,-131.4511389,26.38898229,13.68292947,0.868166512,0.052843317
-369.5761778,-22.83644562,-71.34934584,88.5028709,-152.4213524,-47.49904766,106.9111929,75.29281636,-158.0348748,40.94827315,51.9121942,-31.19586634,211.3188231,39.34873094,-68.34791706,4.11636809,8.732643464,-17.57274248,69.41210351,1.674597797,19.31380654,21.0520913,-22.98785537,-5.730677424,12.84408666,-12.03701445,43.89797874,20.72678155,-21.78700394,1.021758491,-15.4371395,-19.21493532,7.945133701,-1.841176443,38.49755718,-42.80705777,1.127587543,-7.061788913,-0.731876251,12.14312785,1.417261262,-10.55860048,-12.95891747,-2.405974077,-7.099250359,-0.937968271,5.36455088,0.477582469,-4.277551039,1.620873643,5.759806495,-14.39945033,4.725106956,9.431990357,6.212097663,-1.582357667,14.69745312,-4.691808698,-6.735900276,9.825232036,3.575113031,14.37460387,18.31352281,-2.833584375,-11.39980307,-0.950003697,-3.068041508,2.571274211,-12.16873608,-19.93897223,-3.859871169,8.134348137,-1.772275267,-28.96811182,3.098190047,9.362249482,6.024894572,-1.697508912,-3.070971819,-3.448297438,-0.140078369,4.559864505,-21.9850663,8.937430966,13.54480521,-3.378225603,10.54287032,-0.425180942,-4.993971001,-3.321552988,-0.627214444,-0.398662945,10.57422855,1.193424035,-0.346779095,-4.540593255,-2.290935719,12.80287687,-4.753526298,-6.717857955,-3.006548889,2.344550294,-1.150310953,7.667783706,-11.17263614,-3.684896019,7.240838485,-0.425301376,6.57656879,3.648069332,0.679839934,-10.21622989,-10.93458395,0.636171627,-4.685888068,-9.030332114,5.717819462,11.85266856,-4.49320316,3.421718628,-0.210003298,2.655223679,-11.16326053,0.439420264,2.015444276,4.321111615,-0.72768107,7.316091469,-1.085091533,0.588238285,-1.119225597,-0.783057906,2.354785123,-0.819489098,-5.556049482,-2.346046903,0.705062861,2.043069295,-126.92417,-12.77845401
-365.1588597,-188.2120618,-16.37958101,73.92910422,86.07914006,52.25334108,-66.00677608,106.243179,142.3087111,-16.99089454,60.63284501,-13.5923708,92.56321923,-23.15436123,-57.32621998,-2.869886823,-8.087451893,-15.34542303,-65.76371404,-84.82348488,37.91927715,-29.90856051,-60.69715799,-22.06496811,37.06985342,-34.27306766,-41.85957308,-8.634887018,24.4543849,8.63258615,10.92162033,-24.89189594,-14.46930279,15.96224235,45.61739726,-28.9485329,-5.439504647,12.62756128,9.021879082,-1.660035619,-10.92178279,1.22822538,-35.63190039,3.363409808,32.04171259,-32.63892889,-18.49284203,-27.50854298,18.35760547,2.099019487,-27.85611306,18.40341198,8.203745604,-26.66228723,6.955307969,-5.916577963,-7.040903591,8.618034508,8.616104522,-9.097915735,-17.83771317,44.39614405,9.479889324,-3.179873451,22.85396492,18.78062137,-0.679271853,-18.8470976,-15.08997162,-0.316810475,9.531961902,16.64568954,-8.755950514,7.361397829,-12.51862967,-7.02293388,-4.948612303,-14.40553162,30.8452481,5.606466393,13.30889689,14.43334313,-15.3720287,-1.781012694,-15.86163401,14.08166809,-11.83270465,-12.88905889,1.540155742,1.466296226,-5.522463027,-2.212560107,-11.31400534,23.38726248,6.665087519,4.98411223,17.0317422,3.224351798,-12.48204564,-12.73611244,16.25423392,-21.41528097,2.6891302,5.06168292,23.4511041,-19.29454554,-14.2208005,4.177865207,-30.14281878,-15.88968606,-5.37329415,0.895046751,-5.317198674,-0.800558016,-1.656464484,-16.8254203,-10.38796113,-3.631676102,17.16182012,-0.864156952,-8.583638681,6.149979574,2.748305656,-6.596504733,-1.869159679,-1.384146831,3.155350198,-2.106575998,2.51886129,1.69106571,4.65795623,-2.546689447,3.52446965,-2.799597926,-1.253878273,1.597358927,2.186932571,-4.480234897,-12.00909042,114.4235401
